Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,email,Status
35,male,3,rent,little,moderate,6948,36,car,customers@mail.com,waiting
25,female,2,rent,little,moderate,1295,12,car,customers@mail.com,waiting
24,female,2,rent,little,little,4308,48,business,customers@mail.com,waiting
28,female,2,rent,little,little,1403,15,car,customers@mail.com,waiting
44,male,2,rent,quite rich,little,2647,6,radio/TV,customers@mail.com,waiting
48,male,1,rent,little,little,2241,10,car,customers@mail.com,waiting
42,female,2,rent,rich,rich,409,12,radio/TV,customers@mail.com,waiting
57,male,1,rent,,,1264,12,business,customers@mail.com,waiting
24,male,2,rent,moderate,little,6187,30,car,customers@mail.com,waiting
23,female,0,rent,quite rich,little,1352,6,car,customers@mail.com,waiting
23,female,1,rent,little,little,6229,36,furniture/equipment,customers@mail.com,waiting
46,male,1,rent,,,730,7,radio/TV,customers@mail.com,waiting
24,female,1,rent,moderate,,1568,18,business,customers@mail.com,waiting
20,male,2,rent,,rich,3617,24,furniture/equipment,customers@mail.com,waiting
58,male,2,rent,little,moderate,15945,54,business,customers@mail.com,waiting
36,male,3,rent,,moderate,7057,20,car,customers@mail.com,waiting
41,male,1,rent,moderate,,1469,24,car,customers@mail.com,waiting
24,male,2,rent,little,moderate,2323,36,radio/TV,customers@mail.com,waiting
35,male,2,rent,little,moderate,1919,9,furniture/equipment,customers@mail.com,waiting
26,male,2,rent,,,2445,12,car,customers@mail.com,waiting
23,female,2,rent,little,rich,392,15,education,customers@mail.com,waiting
28,male,1,rent,little,moderate,6260,18,car,customers@mail.com,waiting
27,female,2,rent,,little,2132,10,furniture/equipment,customers@mail.com,waiting
41,female,3,rent,little,,3868,24,car,customers@mail.com,waiting
24,male,1,rent,little,,1768,12,furniture/equipment,customers@mail.com,waiting
27,female,2,rent,,moderate,1924,18,furniture/equipment,customers@mail.com,waiting
44,female,1,rent,little,rich,1881,12,radio/TV,customers@mail.com,waiting
29,female,2,rent,rich,moderate,7758,24,car,customers@mail.com,waiting
36,male,3,rent,moderate,moderate,6967,24,business,customers@mail.com,waiting
20,female,2,rent,little,little,1282,12,furniture/equipment,customers@mail.com,waiting
25,female,2,rent,little,,3972,24,furniture/equipment,customers@mail.com,waiting
33,male,2,rent,little,little,950,15,car,customers@mail.com,waiting
31,male,3,rent,little,,1963,12,radio/TV,customers@mail.com,waiting
29,male,2,rent,little,,2108,6,radio/TV,customers@mail.com,waiting
21,male,2,rent,moderate,moderate,3031,45,radio/TV,customers@mail.com,waiting
27,female,2,rent,moderate,moderate,951,12,furniture/equipment,customers@mail.com,waiting
21,male,2,rent,little,little,902,12,education,customers@mail.com,waiting
24,male,1,rent,little,little,3021,24,furniture/equipment,customers@mail.com,waiting
23,female,2,rent,,little,1200,12,education,customers@mail.com,waiting
61,male,1,rent,moderate,moderate,2767,21,business,customers@mail.com,waiting
35,male,2,rent,moderate,,1204,6,car,customers@mail.com,waiting
22,female,2,rent,little,,433,18,radio/TV,customers@mail.com,waiting
37,female,2,rent,quite rich,,1402,12,furniture/equipment,customers@mail.com,waiting
29,male,3,rent,moderate,,1901,24,radio/TV,customers@mail.com,waiting
23,male,2,rent,rich,,3368,15,car,customers@mail.com,waiting
28,male,3,rent,little,moderate,9398,36,car,customers@mail.com,waiting
20,female,2,rent,,,4675,12,car,customers@mail.com,waiting
24,female,1,rent,,,4811,30,car,customers@mail.com,waiting
22,male,1,rent,little,moderate,276,9,car,customers@mail.com,waiting
49,male,2,rent,,,5801,12,furniture/equipment,customers@mail.com,waiting
24,female,1,rent,moderate,,11590,48,car,customers@mail.com,waiting
23,male,2,rent,little,little,4110,24,furniture/equipment,customers@mail.com,waiting
44,male,3,rent,little,little,3384,6,furniture/equipment,customers@mail.com,waiting
24,female,2,rent,,little,1275,15,domestic appliances,customers@mail.com,waiting
26,female,1,rent,little,little,3599,21,furniture/equipment,customers@mail.com,waiting
25,male,2,rent,quite rich,moderate,3213,18,radio/TV,customers@mail.com,waiting
23,female,0,rent,quite rich,moderate,3758,24,radio/TV,customers@mail.com,waiting
23,female,2,rent,little,,1236,9,domestic appliances,customers@mail.com,waiting
28,male,2,rent,little,little,6199,12,radio/TV,customers@mail.com,waiting
23,female,2,rent,little,little,2406,30,furniture/equipment,customers@mail.com,waiting
21,male,2,rent,little,,1766,6,furniture/equipment,customers@mail.com,waiting
22,female,2,rent,little,little,3650,18,furniture/equipment,customers@mail.com,waiting
40,female,2,rent,little,moderate,3001,18,furniture/equipment,customers@mail.com,waiting
23,female,2,rent,little,,2146,10,furniture/equipment,customers@mail.com,waiting
37,female,2,rent,little,little,7685,48,business,customers@mail.com,waiting
25,female,2,rent,,,1283,22,car,customers@mail.com,waiting
21,female,2,rent,,,1126,18,radio/TV,customers@mail.com,waiting
19,female,1,rent,rich,moderate,983,12,furniture/equipment,customers@mail.com,waiting
32,male,2,rent,moderate,moderate,11760,39,education,customers@mail.com,waiting
46,male,2,rent,little,moderate,1223,12,car,customers@mail.com,waiting
40,male,1,rent,quite rich,,1597,10,car,customers@mail.com,waiting
23,female,2,rent,,little,8471,18,education,customers@mail.com,waiting
20,female,2,rent,rich,,3186,15,car,customers@mail.com,waiting
